,P_NAME,P_RADIUS,P_MASS,P_ESCAPE,P_TEMP_SURF
326,Kepler-42 d,0.57171,0.13030948,0.47741946,513.09703
327,Kepler-47 b,3.04912,2.0690603,0.82375737,513.43892
328,EPIC 201170410.02,1.04253,1.1441808,1.0476182,515.89107
329,Kepler-1353 b,1.80481,3.9092844,1.4717461,516.26776
330,Kepler-1185 b,1.33399,2.3296793,1.321514,516.28326
331,Kepler-1010 b,2.32047,6.0069493,1.6089369,516.6448
332,Kepler-140 c,1.80481,3.9092844,1.4717461,516.67869
333,K2-47 b,1.89449,4.2271124,1.4937425,516.87169
334,Kepler-1620 b,1.61424,3.2100628,1.410174,518.05795
335,Kepler-1498 b,1.33399,2.3296793,1.321514,520.09441
336,Kepler-166 c,2.37652,6.2612117,1.6231492,522.03956
337,K2-384 c,1.18826,1.8179762,1.2369107,522.87078
339,K2-185 c,2.38773,6.2929945,1.6234393,524.44119
340,Kepler-1492 b,1.49093,2.8254909,1.3766335,524.73622
341,Kepler-195 c,1.54698,3.0225443,1.3977966,524.79248
342,HD 39194 d,1.82723,4.0014546,1.4798317,524.84566
343,Kepler-296 c,1.99538,4.6720716,1.5301779,525.1169
344,HD 73583 c,2.38773,9.7001106,2.01556,526.90933
345,K2-153 b,1.99538,4.6720716,1.5301779,528.61141
346,Kepler-51 b,7.09593,2.224796,0.55993864,528.74301
347,Kepler-1251 b,1.83844,4.0364156,1.4817441,529.26121
348,TOI-776 b,1.84965,4.0014546,1.4708357,529.96732
349,Kepler-198 c,2.4662,6.6743881,1.6450973,530.97104
351,Kepler-1489 b,1.77118,3.7821532,1.461296,531.62553
352,K2-368 d,1.95054,4.449592,1.5103676,531.69694
353,Kepler-691 b,2.08506,5.0216824,1.5519058,532.8419
354,Kepler-986 b,2.36531,6.1658633,1.6145552,533.04783
355,Kepler-124 d,1.10979,1.4111563,1.1276314,533.3303
356,Kepler-1177 b,1.9057,4.2588952,1.4949312,534.178
357,K2-59 b,2.41015,6.3883429,1.6280662,534.76305
358,Kepler-1423 b,1.06495,1.1982116,1.0607234,535.57356
359,K2-84 c,2.02901,4.76742,1.5328498,536.38866
360,L 98-59 c,1.39004,2.2184395,1.2633106,537.33502
361,K2-48 b,2.242,5.6573385,1.5885039,537.67654
362,TOI-178 f,2.28684,7.7200422,1.8373502,538.1619
363,K2-264 b,2.23079,5.5937729,1.5835182,538.2004
364,Kepler-1749 b,1.61424,3.2418456,1.4171379,538.56952
365,K2-83 c,1.47972,2.803243,1.3763871,538.63885
366,HD 219134 f,1.31157,7.3005092,2.3592874,538.89048
367,K2-5 c,2.26442,5.7209041,1.5894755,539.31695
368,Kepler-833 b,2.0178,4.7356372,1.5319696,540.08095
369,LTT 1445 A c,1.14342,1.5414658,1.1610851,541.47727
370,K2-62 c,2.14111,5.2123792,1.5602655,541.6887
371,K2-69 b,2.32047,6.0069493,1.6089369,542.22181
372,HD 215152 e,1.50214,2.8763434,1.383774,542.2765
373,Kepler-1277 b,1.60303,3.17828,1.4080733,542.48499
374,Kepler-1760 b,2.28684,5.8480353,1.5991423,542.65257
375,K2-268 f,2.23079,5.5937729,1.5835182,543.16222
376,GJ 3779 b,2.74645,7.9997308,1.706679,544.31572
378,Kepler-1236 b,2.14111,5.2123792,1.5602655,544.78213
379,K2-3 b,1.98417,6.480513,1.8072376,545.5755
380,KOI-1831 d,1.13221,2.2311526,1.4037868,545.8393
381,GJ 357 b,1.22189,1.8402241,1.2272112,546.30691
382,Kepler-54 b,2.09627,21.612304,3.2109011,546.85904
384,EPIC 206215704 b,0.99769,0.97255369,0.98732238,547.02663
385,HD 40307 d,3.04912,9.5030573,1.7654053,547.8178
386,Kepler-1948 b,1.03132,1.0901501,1.0281262,547.95548
387,Kepler-1162 b,2.20837,5.5302073,1.5824674,548.39555
388,Kepler-558 b,2.36531,6.1976461,1.6187111,549.96848
389,K2-339 b,1.91691,4.3542436,1.5071466,552.00623
390,Kepler-1805 b,1.54698,3.0034746,1.3933802,552.69067
391,GJ 3138 c,1.87207,4.1794382,1.4941628,554.56671
392,Kepler-1109 b,2.18595,5.4348589,1.5767906,554.59274
393,Kepler-436 c,2.33168,6.0387321,1.6093052,555.09388
394,Kepler-261 c,1.99538,4.6720716,1.5301779,555.4672
395,Kepler-1092 b,2.07385,4.926334,1.5412506,555.52015
396,Kepler-1609 b,2.21958,5.5619901,1.5829956,555.76884
397,Kepler-236 b,1.5694,3.0892882,1.4030152,556.24234
